Reporting Fiscal Year,Agency,Agency Name,Resource indicators,Previous FY Actual,Current FY Plan,Current FY Updated Plan,Next FY Plan,Previous FY 4-Month Actual,Current FY 4-Month Actual,Notes
2024,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Expenditures ($000,000)","$1,535.90","$1,662.20","$1,735.40","$1,607.00",$704.70,$742.20,Includes all funds.
2024,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Revenues ($000,000)",$22.30,$20.60,$20.60,$20.60,$6.40,$6.20,DEP revenues shown here do not include any of the approximately $1.5 billion the City receives annually from the NYC Water Board in reimbursement for operations & maintenance and in rent.
2024,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Personnel,"5,761","6,497","6,510","6,488","5,568","5,845",
2024,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Overtime paid ($000,000)",$63.40,$44.60,$48.10,$46.10,$19.10,$18.60,
2024,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Capital commitments ($000,000)","$2,402.50","$2,769.70","$2,684.20","$2,745.50",$479.80,$198.50,
2024,DFTA,DEPARTMENT FOR THE AGING,"Expenditures ($000,000)",$494.70,$521.80,$505.80,$485.10,$341.80,$322.40,Includes all funds.
2024,DFTA,DEPARTMENT FOR THE AGING,"Revenues ($000,000)",$7.10,$1.00,$1.00,$1.00,$2.60,$0.50,
2024,DFTA,DEPARTMENT FOR THE AGING,Personnel,312,350,370,355,306,307,Personnel’ includes the full-time equivalent of non-DFTA employees who are older New Yorkers participating in DFTA’s Senior Employment (Title V) program.
2024,DFTA,DEPARTMENT FOR THE AGING,Overtime paid ($000),$36,$0,$0,$0,$10,$8,
2024,DFTA,DEPARTMENT FOR THE AGING,"Capital commitments ($000,000)",$5.40,$9.50,$14.90,$16.80,$2.40,$2.50,
2024,DFTA,DEPARTMENT FOR THE AGING,"Human services contract budget ($000,000)",$440.50,$331.30,$359.50,$289.80,$194.10,$207.60,
2024,DHS,DEPARTMENT OF HOMELESS SERVICES,"Expenditures ($000,000)","$3,540.40","$3,021.40","$3,784.90","$3,963.70","$1,804.10","$2,516.60",Includes all funds.
2024,DHS,DEPARTMENT OF HOMELESS SERVICES,Personnel,"1,797","2,001","1,922","1,907","1,845","1,798",
2024,DHS,DEPARTMENT OF HOMELESS SERVICES,"Overtime paid ($000,000)",$26.30,$14.90,$23.20,$17.70,$6.60,$8.90,
2024,DHS,DEPARTMENT OF HOMELESS SERVICES,"Capital commitments ($000,000)",$14.70,$46.30,$103.70,$105.40,$4.50,$2.90,
2024,DHS,DEPARTMENT OF HOMELESS SERVICES,"Human services contract budget ($000,000)","$3,102.40","$2,676.60","$3,379.30","$3,749.60",$820.50,"$1,083.30",
2024,DOB,DEPARTMENT OF BUILDINGS,"Expenditures ($000,000)",$192.10,$219.20,$205.40,$178.70,$71.70,$62.90,Includes all funds.
2024,DOB,DEPARTMENT OF BUILDINGS,"Revenues ($000,000)",$319.50,$336.30,$311.40,$340.30,$106.70,$114.70,
2024,DOB,DEPARTMENT OF BUILDINGS,Personnel,"1,569","1,861","1,677","1,657","1,535","1,589",
2024,DOB,DEPARTMENT OF BUILDINGS,"Overtime paid ($000,000)",$9.30,$3.00,$3.10,$3.00,$2.50,$2.30,
2024,DOC,DEPARTMENT OF CORRECTION,"Expenditures ($000,000)","$1,357.40","$1,165.90","$1,210.90","$1,045.20",$462.30,$404.60,Includes all funds.
2024,DOC,DEPARTMENT OF CORRECTION,"Revenues ($000,000)",$11.70,$11.80,$11.80,$11.80,$3.60,$3.20,
2024,DOC,DEPARTMENT OF CORRECTION,Personnel (uniformed),"6,299","7,060","7,060","7,060","6,735","1,798",
2024,DOC,DEPARTMENT OF CORRECTION,Personnel (civilian),"1,552","1,801","1,792","1,792","1,523","1,561",
2024,DOC,DEPARTMENT OF CORRECTION,"Overtime paid ($000,000)",$294.60,$132.70,$235.70,$134.90,$83.50,$81.00,
2024,DOC,DEPARTMENT OF CORRECTION,"Capital commitments ($000,000)",$774.80,"$3,194.90","$1,835.50","$2,608.80",$33.10,$21.60,
2024,DOE,DEPARTMENT OF EDUCATION,"Expenditures ($000,000)","$31,505.50","$31,499.10","$32,570.20","$31,474.50","$12,978.90","$14,164.90",Includes all funds.
2024,DOE,DEPARTMENT OF EDUCATION,"Revenues ($000,000)",$46.30,$52.70,$52.70,$52.70,$13.60,$15.90,
2024,DOE,DEPARTMENT OF EDUCATION,Personnel,"141,594","152,971","152,385","151,737","140,155","142,531",
2024,DOE,DEPARTMENT OF EDUCATION,"Overtime paid ($000,000)",$39.00,$17.70,$17.70,$17.70,$5.50,$6.50,
2024,DOE,DEPARTMENT OF EDUCATION,"Human services contract budget ($000,000)","$1,872.40","$1,426.20","$1,911.60","$1,405.30",$642.30,$564.20,
2024,DOF,DEPARTMENT OF FINANCE,"Expenditures ($000,000)",$332.10,$341.00,$353.10,$340.20,$145.20,$146.50,Includes all funds.
2024,DOF,DEPARTMENT OF FINANCE,"Revenues ($000,000)","$1,298.60","$1,025.70","$1,110.00","$1,077.50",$465.30,$401.80,
2024,DOF,DEPARTMENT OF FINANCE,Personnel,"1,691","1,937","1,984","1,984","1,661","1,691",
2024,DOF,DEPARTMENT OF FINANCE,Overtime paid ($000),"$8,552","$1,358","$1,472","$1,358","$2,193","$2,122",
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Expenditures ($000,000)","$2,335.50","$2,201.80","$2,710.60","$2,064.80","$1,561.90","$1,511.20",Includes all funds.
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Revenues ($000,000)",$31.90,$32.00,$31.50,$31.50,$10.80,$10.60,
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Personnel,"6,164","7,047","7,249","6,914","6,104","6,192",
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Overtime paid ($000,000)",$24.00,$5.60,$11.20,$5.60,$8.50,$7.30,
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Capital commitments ($000,000)",$341.60,$20.90,$216.40,$190.10,$216.30,$35.90,
2024,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Human services contract budget ($000,000)",$909.40,$920.70,"$1,050.70",$952.40,$286.30,$356.70,
2024,DOI,DEPARTMENT OF INVESTIGATION,"Expenditures ($000,000)",$47.70,$51.80,$53.40,$45.50,$30.20,$32.60,Includes all funds.
2024,DOI,DEPARTMENT OF INVESTIGATION,"Revenues ($000,000)",$2.80,$4.20,$4.20,$4.20,$0.40,$0.40,
2024,DOI,DEPARTMENT OF INVESTIGATION,Personnel,272,295,317,295,277,280,
2024,DOI,DEPARTMENT OF INVESTIGATION,Overtime paid ($000),$372,$107,$107,$107,$110,$133,
2024,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Expenditures ($000,000)",$897.40,$727.60,$890.40,$775.20,$494.60,$497.70,Includes all funds.
2024,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Revenues ($000,000)",$155.10,$143.30,$143.30,$141.80,$49.50,$45.90,
2024,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Personnel,"1,166","1,282","1,580","1,516","1,519","1,525",
2024,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Overtime paid ($000),"$1,352",$76,$305,$305,$324,$616,
2024,DOP,DEPARTMENT OF PROBATION,"Expenditures ($000,000)",$115.30,$119.90,$118.00,$105.70,$54.20,$53.90,Includes all funds.
2024,DOP,DEPARTMENT OF PROBATION,Revenues ($000),$138.00,$302.00,$302.00,$302.00,$42.80,$42.50,
2024,DOP,DEPARTMENT OF PROBATION,Personnel,"1,014","1,096","1,115","1,085","1,008",964,
2024,DOP,DEPARTMENT OF PROBATION,Overtime paid ($000),"$3,075","$2,776","$2,791","$2,776",$402,"$1,492",
2024,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Expenditures ($000,000)",$14.20,$16.00,$15.00,$14.60,$5.50,$9.30,Includes all funds.
2024,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Revenues ($000,000)",$0.60,$0.90,$0.90,$0.90,$0.20,$0.20,
2024,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Personnel,58,57,55,54,58,55,
2024,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Overtime paid ($000),$0,$0,-,-,$0,$0,
2024,DOT,DEPARTMENT OF TRANSPORTATION,"Expenditures ($000,000)","$1,385.40","$1,405.30","$1,415.20","$1,403.20",$720.90,$816.80,Includes all funds.
2024,DOT,DEPARTMENT OF TRANSPORTATION,"Revenues ($000,000)",$485.70,$462.00,$464.40,$472.90,$103.90,$121.10,
2024,DOT,DEPARTMENT OF TRANSPORTATION,Personnel,"5,707","6,120","6,097","6,120","5,555","5,769",
2024,DOT,DEPARTMENT OF TRANSPORTATION,"Overtime paid ($000,000)",$70.90,$51.90,$61.40,$51.50,$24.10,$25.60,
2024,DOT,DEPARTMENT OF TRANSPORTATION,"Capital commitments ($000,000)","$1,489.50","$1,700.00","$1,139.60","$1,593.20",$342.50,$161.40,
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,"Expenditures ($000,000)",$614.30,$638.20,$618.30,$583.70,$200.00,$233.80,Includes all funds.
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,"Revenues ($000,000)",$69.70,$63.20,$68.90,$67.70,$24.70,$27.20,
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,Personnel (Total FT and FTE),"6,785","8,043","7,967","7,698","7,274","6,755",
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,Full-time equivalent (FTE) personnel,"2,386","3,288","3,457","3,597","3,111","2,397",
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,Parks Opportunity Program (POP) participants,"1,084","1,497","1,314","1,378",892,"1,149","The Parks Opportunity Program participants, reflected as full-time equivalents, are a subtotal of the Department's total Personnel count."
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,"Overtime paid ($000,000)",$30.30,$15.80,$15.70,$13.40,$11.50,$12.10,
2024,DPR,DEPARTMENT OF PARKS AND RECREATION,"Capital commitments ($000,000)",$553.80,$757.90,$619.80,$749.60,$167.80,$125.60,
2024,DSNY,DEPARTMENT OF SANITATION,"Expenditures ($000,000)","$1,919.30","$1,901.40","$1,998.10","$1,881.90",$891.60,$958.60,Includes all funds.
2024,DSNY,DEPARTMENT OF SANITATION,"Revenues ($000,000)",$23.40,$15.10,$15.50,$16.40,$9.10,$4.40,
2024,DSNY,DEPARTMENT OF SANITATION,Personnel (uniformed),"8,045","7,078","7,978","7,832","8,046","8,447",
2024,DSNY,DEPARTMENT OF SANITATION,Personnel (civilian),"1,979","2,240","2,030","1,899","2,056","1,952",
2024,DSNY,DEPARTMENT OF SANITATION,"Overtime paid ($000,000)",$176.20,$146.30,$151.20,$119.80,$55.40,$55.70,
2024,DSNY,DEPARTMENT OF SANITATION,"Capital commitments ($000,000)",$406.00,$471.60,$292.60,$648.20,$32.50,$27.10,
2024,DVS,DEPARTMENT OF VETERANS' SERVICES,"Expenditures ($000,000)",$5.50,$5.10,$5.70,$5.20,$1.40,$1.90,Includes all funds.
2024,DVS,DEPARTMENT OF VETERANS' SERVICES,Personnel,34,37,37,37,29,33,
2024,DVS,DEPARTMENT OF VETERANS' SERVICES,Overtime paid ($000),$24,$0,$0,$0,$7,$3,
2024,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Expenditures ($000,000)","$1,126.50","$1,362.50","$1,333.30","$1,127.90",$804.20,$879.30,Includes all funds.
2024,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Personnel,505,558,601,584,487,528,
2024,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Overtime paid ($000),$369,$154,$154,$154,$67,$55,
2024,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Human services contract budget ($000,000)",$868.40,$928.80,"$1,078.40",$704.20,$330.00,$372.10,
2024,EDC,ECONOMIC DEVELOPMENT CORPORATION,Personnel,518,520,520,520,484,518,
2024,EDC,ECONOMIC DEVELOPMENT CORPORATION,"Capital commitments ($000,000)",$434.00,$827.10,$837.00,$644.40,$89.40,$129.80,
2024,FDNY,FIRE DEPARTMENT,"Expenditures ($000,000)","$2,552.20","$2,299.40","$2,682.60","$2,525.70",$850.20,$891.30,Includes all funds.
2024,FDNY,FIRE DEPARTMENT,"Revenues ($000,000)",$108.90,$99.10,$99.00,$103.00,$42.50,$40.90,
2024,FDNY,FIRE DEPARTMENT,Personnel (uniformed),"10,672","10,954","10,952","10,952","10,773","10,515",
2024,FDNY,FIRE DEPARTMENT,Personnel (civilian),"6,398","6,473","6,319","6,173","6,289","6,537",
2024,FDNY,FIRE DEPARTMENT,"Overtime paid ($000,000)",$504.30,$272.90,$495.00,$426.20,$152.70,$160.20,
2024,FDNY,FIRE DEPARTMENT,"Capital commitments ($000,000)",$261.10,$386.10,$248.30,$216.10,$127.30,$106.20,
2024,H + H,HEALTH AND HOSPITALS CORP,"Expenditures ($000,000)","$10,878.70","$10,406.70","$10,406.70","$9,743.50","$3,252.40","$3,838.40",Includes all funds.
2024,H + H,HEALTH AND HOSPITALS CORP,"Revenues ($000,000)","$11,587.90","$10,932.20","$10,932.20","$10,215.30","$3,188.00","$4,039.70",
2024,H + H,HEALTH AND HOSPITALS CORP,Personnel,"39,738","37,272","37,272","37,272","39,055","40,967",
2024,H + H,HEALTH AND HOSPITALS CORP,"Overtime paid ($000,000)",$215.30,$165.80,$171.50,$171.50,$79.60,$84.60,
2024,H + H,HEALTH AND HOSPITALS CORP,"Capital commitments ($000,000)",$414.80,$478.40,$546.10,$518.70,$117.80,$97.30,
2024,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Expenditures ($000,000)","$1,324.10","$1,413.20","$1,810.20","$1,786.60",$680.20,$531.50,Includes all funds.
2024,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Revenues ($000,000)",$92.30,$39.50,$74.20,$39.40,$30.00,$39.80,
2024,HPD,HOUSING AND PRESERVATION DEVELOPMENT,Personnel,"2,410","2,695","2,695","2,689","2,223","2,488",
2024,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Overtime paid ($000,000)",$3.80,$3.00,$3.00,$3.00,$0.70,$1.50,
2024,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Capital commitments ($000,000)","$1,410.90","$2,506.10","$2,688.70","$2,148.10",$38.20,$24.10,
2024,HRA,HUMAN RESOURCES ADMINISTRATION,"Expenditures ($000,000)","$11,127.00","$11,480.90","$12,861.70","$10,814.60","$4,149.90","$4,449.70",Includes all funds.
2024,HRA,HUMAN RESOURCES ADMINISTRATION,"Revenues ($000,000)",$55.60,$42.60,$42.60,$42.60,$13.30,$13.40,
2024,HRA,HUMAN RESOURCES ADMINISTRATION,Personnel,"10,841","12,141","12,134","12,005","10,602","11,047",
2024,HRA,HUMAN RESOURCES ADMINISTRATION,"Overtime paid ($000,000)",$96.80,$25.00,$24.70,$41.90,$23.80,$32.40,
2024,HRA,HUMAN RESOURCES ADMINISTRATION,"Capital commitments ($000,000)",$57.50,$214.00,$180.90,$142.00,$7.30,$37.60,
2024,HRA,HUMAN RESOURCES ADMINISTRATION,"Human services contract budget ($000,000)",$823.60,$854.40,$944.60,$829.70,$240.80,$268.20,
2024,LAW,LAW DEPARTMENT,"Expenditures ($000,000)",$271.30,$246.90,$285.00,$220.30,$102.90,$105.60,Includes all funds.
2024,LAW,LAW DEPARTMENT,"Revenues ($000,000)",$18.40,$34.00,$57.70,$18.00,$10.00,$27.50,
2024,LAW,LAW DEPARTMENT,Personnel,"1,462","1,638","1,644","1,526","1,513","1,528",
2024,LAW,LAW DEPARTMENT,Overtime paid ($000),"$2,632","$2,131","$2,145","$2,131",$573,$677,
2024,LIB,PUBLIC LIBRARIES,"Expenditures ($000,000)",$473.10,$471.90,$453.90,$421.00,$181.90,$188.90,Includes all funds.
2024,LIB,PUBLIC LIBRARIES,Personnel,"4,108","4,301","4,339","4,236","3,923","4,084",
2024,LIB,PUBLIC LIBRARIES,"Capital commitments ($000,000)",$73.20,$198.50,$186.10,$150.40,$20.40,$68.30,
2024,LPC,LANDMARKS PRESERVATION COMM.,"Expenditures ($000,000)",$7.20,$7.60,$8.30,$7.40,$2.00,$2.60,Includes all funds.
2024,LPC,LANDMARKS PRESERVATION COMM.,"Revenues ($000,000)",$7.60,$6.70,$6.90,$6.90,$2.50,$2.40,
2024,LPC,LANDMARKS PRESERVATION COMM.,Personnel,76,78,78,78,70,76,
2024,LPC,LANDMARKS PRESERVATION COMM.,Overtime paid ($000),$24,$7,$7,$7,$0,$0,
2024,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,"Expenditures ($000,000)",$186.20,$217.60,$233.70,$175.90,$70.90,$113.30,Includes all funds.
2024,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Personnel,211,207,243,88,199,207,
2024,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Overtime paid ($000),"$1,116",$184,$215,$184,$245,$442,
2024,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Expenditures ($000,000)","$4,652.00","$4,413.20","$4,413.20","$4,623.90","$1,487.60","$1,550.00",Includes all funds.
2024,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Revenues ($000,000)","$4,704.10","$4,378.30","$4,378.30","$4,583.60","$1,520.40","$1,378.20",
2024,NYCHA,NEW YORK CITY HOUSING AUTHORITY,Personnel,"11,891","12,213","12,509","11,877","11,935","11,913",
2024,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Overtime paid ($000,000)",$198.00,$100.00,$100.00,$114.00,$58.00,$67.30,
2024,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Capital commitments ($000,000)",$416.60,"$1,507.40","$1,105.70",$915.20,$82.90,$114.00,
2024,NYPD,POLICE DEPARTMENT,"Expenditures ($000,000)","$6,310.80","$5,804.70","$6,299.30","$5,754.40","$1,910.70","$2,126.50",Includes all funds.
2024,NYPD,POLICE DEPARTMENT,"Revenues ($000,000)",$95.90,$99.40,$92.00,$95.80,$37.30,$38.40,
2024,NYPD,POLICE DEPARTMENT,Personnel (uniformed),"33,797","35,001","35,051","35,001","33,782","33,399",
2024,NYPD,POLICE DEPARTMENT,Personnel (civilian),"15,117","16,244","15,520","15,465","15,066","15,081",
2024,NYPD,POLICE DEPARTMENT,"Overtime paid ($000,000)",$951.40,$517.40,$788.70,$563.70,$246.80,$323.00,
2024,NYPD,POLICE DEPARTMENT,"Capital commitments ($000,000)",$90.20,$504.10,$236.50,$167.40,$32.00,$5.40,
2024,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,"Expenditures ($000,000)",$55.80,$65.30,$62.80,$59.40,$18.20,$22.30,Includes all funds.
2024,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,"Revenues ($000,000)",$137.10,$143.40,$143.40,$143.10,$49.90,$51.00,
2024,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,Personnel,429,569,537,520,370,460,
2024,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,Overtime paid ($000),$39,$50,$40,$10,$13,$46,
2024,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Expenditures ($000,000)",$99.50,$97.10,$105.60,$100.10,$34.10,$36.60,This is a subtotal of the Department of Health and Mental Hygiene total. Includes all funds.
2024,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Revenues ($000),$38.30,$50.00,$50.00,$50.00,$22.10,$0.00,This is a subtotal of the Department of Health and Mental Hygiene total.
2024,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Personnel,716,756,756,756,725,720,This is a subtotal of the Department of Health and Mental Hygiene total.
2024,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Overtime paid ($000,000)",$9.80,$2.50,$2.90,$2.50,$2.70,$2.90,This is a subtotal of the Department of Health and Mental Hygiene total.
2024,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Expenditures ($000,000)",$364.10,$210.00,$330.50,$173.90,$149.60,$151.40,Includes all funds.
2024,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Revenues ($000,000)",$0.20,$0.20,$0.20,$0.20,$0.10,$0.10,
2024,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Personnel,288,379,390,381,238,304,
2024,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Overtime paid ($000),$85,$65,$65,$65,$23,$29,
2024,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Human services contract budget ($000,000)",$32.70,$26.10,$72.10,$26.10,$1.70,$4.60,
2024,SCA,SCHOOL CONSTRUCTION AUTHORITY,Personnel,883,"1,059","1,059","1,059",866,913,Actuals are SCA actual comittments.
